City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Atar,MR,72.59,clear sky,20.5169,-13.0499,Oumou Elghoura
7,Cape+Town,ZA,72.0,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
8,Nouadhibou,MR,75.2,broken clouds,20.930999999999997,-17.0347,El Medina
11,Rocha,UY,75.47,moderate rain,-34.4833,-54.3333,Beleza Pura B&B
12,Saint-Philippe,RE,78.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
13,Ouricuri,BR,78.62,overcast clouds,-7.8825,-40.0817,Sertão Pousada
18,Mana,GF,78.8,overcast clouds,5.6592,-53.7767,LE SAMANA
23,Sao+Filipe,CV,75.79,overcast clouds,14.8961,-24.4956,Tortuga B&B
27,Namibe,AO,73.72,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
28,Dingle,PH,71.47,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
29,Chuy,UY,79.83,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
30,Maragogi,BR,80.22,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
31,Arraial+Do+Cabo,BR,86.0,few clouds,-22.9661,-42.0278,Pousada Porto Praia
33,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
40,Tucupita,VE,79.21,scattered clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
41,Geraldton,AU,84.2,clear sky,-28.7667,114.6,Broadwater Mariner Resort
44,Mahajanga,MG,77.0,moderate rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
46,East+London,ZA,71.37,clear sky,-33.0153,27.9116,Tu Casa
47,Revadanda,IN,73.4,smoke,18.5503,72.9278,OYO 22032 P P Motel
49,Georgetown,MY,80.01,few clouds,5.4112,100.3354,Cititel Penang
51,Cruz+Das+Almas,BR,81.86,light rain,-12.67,-39.1019,Stúdios Stifler
52,Male,MV,82.4,broken clouds,4.1748,73.5089,Hotel Octave Maldives
54,Naranjal,EC,84.2,light rain,-2.6667,-79.6167,Media Naranja
55,Neuquen,AR,71.6,broken clouds,-38.9516,-68.0591,Hotel del Comahue
57,Mitsamiouli,KM,82.38,overcast clouds,-11.3847,43.2844,Foyer ADM
58,Matara,LK,76.46,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
60,Camapua,BR,86.0,light rain,-19.5314,-54.0439,Comercial Estrela
62,Dedougou,BF,80.04,clear sky,12.4667,-3.4667,Hôtel Bon Séjour
63,Viedma,AR,73.0,scattered clouds,-40.8135,-62.9967,Hotel Cristal
64,Kalmunai,LK,76.84,light rain,7.4167,81.8167,VS Villa
69,Cayenne,GF,80.6,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
72,Bandarbeyla,SO,74.05,clear sky,9.4942,50.8122,JABIR HOTEL
74,Bathsheba,BB,82.4,few clouds,13.2167,-59.5167,Atlantis Hotel
78,Aquidauana,BR,88.14,broken clouds,-20.4711,-55.7872,HOTEL ARARAS
79,Cap+Malheureux,MU,78.01,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
85,Abong+Mbang,CM,74.3,overcast clouds,3.9833,13.1833,Auberge Angle Sur
103,Sao+Joao+Da+Barra,BR,86.0,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
108,Santos+Dumont,BR,82.4,few clouds,-21.4567,-43.5525,Hotel - Leiteria São Luiz
110,Estelle,US,70.0,broken clouds,29.8458,-90.1067,Ohio
114,Danielskuil,ZA,73.2,clear sky,-28.1887,23.5395,Botha'Sig Gastehuis
116,Olmos,PE,87.58,broken clouds,-5.9847,-79.7453,Hospedaje El Olmo
118,Barao+De+Melgaco,BR,89.6,scattered clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
119,Conceicao+Do+Araguaia,BR,81.84,heavy intensity rain,-8.2578,-49.2647,Tarumã Tropical Hotel
120,Kaura+Namoda,NG,73.83,clear sky,12.5898,6.5779,Moonlight Hotel
127,Sao+Jose+Da+Coroa+Grande,BR,80.24,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
131,Souillac,MU,78.8,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
135,Coro,VE,82.38,clear sky,11.4045,-69.6734,Federal
138,Lindi,TZ,76.19,broken clouds,-10.0,39.7167,Lindi paradise house
148,Mongu,ZM,72.19,light rain,-15.2484,23.1274,Country Lodge Mongu
152,Candolim,IN,75.2,haze,15.5181,73.7626,Resort Terra Paraiso
157,Manono,CD,72.25,light rain,-7.3,27.4167,Hotel hewa bora
159,Bull+Savanna,JM,79.48,broken clouds,17.8868,-77.5902,Big Red's
160,Totness,SR,78.57,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
168,Crixas,BR,86.38,clear sky,-14.5489,-49.9692,RISO HOTEL
169,Caravelas,BR,81.21,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
171,Isla+Mujeres,MX,78.8,broken clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
174,Nisia+Floresta,BR,82.4,few clouds,-6.0911,-35.2086,Rancho Crepusculo
177,Kudahuvadhoo,MV,81.18,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
179,Fomboni,KM,83.73,overcast clouds,-12.28,43.7425,Auberge les abou
180,Marau,BR,71.96,overcast clouds,-28.4492,-52.2,Hotel Pousada Tordilho Negro
183,Mollendo,PE,73.81,broken clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
186,Mumford,GH,80.33,clear sky,5.2618,-0.759,Spanish Villa
187,Dogondoutchi,NE,76.95,clear sky,13.6393,4.0287,Hôtel Alheri Maison Alheri
194,Tabou,CI,78.82,scattered clouds,4.423,-7.3528,hotêl doufoulougou
197,Coihueco,CL,73.4,broken clouds,-36.6167,-71.8333,Frutillares Coihueco
199,Kilindoni,TZ,81.81,scattered clouds,-7.9139,39.6668,Bustani B&B
200,Ugoofaaru,MV,81.1,scattered clouds,5.6667,73.0,Ungoofaaru Inn
201,Manta,EC,77.0,light rain,-0.95,-80.7333,Balandra Hotel
203,Kattivakkam,IN,75.2,haze,13.2167,80.3167,Raj's villa
205,Bambous+Virieux,MU,78.8,light rain,-20.3428,57.7575,Casa Tia Villa
209,Nagua,DO,78.8,broken clouds,19.3832,-69.8474,Hotel Cambri
212,Hithadhoo,MV,82.31,scattered clouds,-0.6,73.0833,Scoop Guest House
214,Bubaque,GW,79.75,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
216,Port-Gentil,GA,82.4,moderate rain,-0.7193,8.7815,Fengshui Residence
218,Bissau,GW,82.4,clear sky,11.8636,-15.5977,Pensão Creola
220,Dhidhdhoo,MV,81.93,clear sky,6.8833,73.1,Dhidhoo beach
224,Belmopan,BZ,77.0,overcast clouds,17.25,-88.7667,Villa San Juan
226,Takoradi,GH,80.51,broken clouds,4.8845,-1.7554,Raybow International Hotel
227,Trincomalee,LK,78.91,broken clouds,8.5711,81.2335,Welcombe Hotel
232,Kathu,TH,75.2,few clouds,7.9178,98.3332,Novotel Phuket Resort
233,Sinnamary,GF,79.52,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
239,Wajir,KE,84.72,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
244,Niamey,NE,80.6,dust,13.5137,2.1098,Soluxe Hotel Niamey
246,Coihaique,CL,73.4,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
248,Cidreira,BR,80.29,broken clouds,-30.1811,-50.2056,Hotel Castelo
250,The+Valley,AI,80.6,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
254,Quatre+Cocos,MU,78.8,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
255,Carutapera,BR,83.28,overcast clouds,-1.195,-46.02,Lidera
258,Mulchen,CL,71.6,broken clouds,-37.7167,-72.2333,Hotel Los Maitenes de Villalón
259,Kaduqli,SD,73.6,clear sky,11.0167,29.7167,فندق الله جابو
262,Cabinda,AO,80.02,light rain,-5.55,12.2,"Hotel Executivo , 3 estrelas"
264,Mwanza,TZ,73.85,clear sky,-2.5167,32.9,Gold Crest Hotel
267,Kigoma,TZ,74.52,overcast clouds,-4.8769,29.6267,Kigoma Hilltop Hotel
269,Barreirinha,BR,88.68,clear sky,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
272,Bonthe,SL,80.04,broken clouds,7.5264,-12.505,Bonthe Holiday Village
273,Saint-Joseph,RE,78.8,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
274,Olinda,BR,80.6,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
