City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Port+Blair,IN,79.68,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
1,Grand+Gaube,MU,79,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
3,Taltal,CL,71.69,clear sky,-25.4,-70.4833,Residencial Karime
5,Cape+Town,ZA,77,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
7,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
11,Bredasdorp,ZA,71.01,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
12,Dubti,ET,77.27,clear sky,11.7361,41.0853,degu Shiferaw
13,Cabedelo,BR,87.8,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
14,Mahibadhoo,MV,81.25,clear sky,3.7833,72.9667,Omadhoo Inn
17,Porto+Novo,BJ,86,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
19,Santa+Maria,BR,86,broken clouds,-29.6842,-53.8069,Hotel Morotin
20,Port+Alfred,ZA,70,clear sky,-33.5906,26.891,The Halyards Hotel
21,Calvinia,ZA,73.31,clear sky,-31.4707,19.776,Die Lemoenhuis
23,Iracoubo,GF,79.47,light rain,5.4802,-53.2011,Le Gite D Iracoubo
24,Mahebourg,MU,78.8,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
26,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
27,Hithadhoo,MV,82.89,broken clouds,-0.6,73.0833,Scoop Guest House
37,Cidreira,BR,85.26,scattered clouds,-30.1811,-50.2056,Hotel Castelo
39,East+London,ZA,73.4,scattered clouds,-33.0153,27.9116,Tu Casa
40,Iquique,CL,73.4,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
42,Hermanus,ZA,71.01,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
43,Plettenberg+Bay,ZA,70.05,clear sky,-34.0527,23.3716,Thanda Vista B&B
46,Bubaque,GW,80.73,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
47,Carutapera,BR,82.22,overcast clouds,-1.195,-46.02,Lidera
48,Hobyo,SO,76.71,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
51,Bandarbeyla,SO,75.02,clear sky,9.4942,50.8122,JABIR HOTEL
53,Nosy+Varika,MG,80.17,clear sky,-20.5833,48.5333,Hotel Volazara
55,Sainte-Suzanne,RE,80.6,light rain,-20.9061,55.6089,Gites Ango
56,Pisco,PE,77,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
63,Caravelas,BR,85.01,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
66,Sao+Joao+Da+Barra,BR,87.8,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
70,Tucurui,BR,88.9,scattered clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
76,Manicore,BR,86,broken clouds,-5.8092,-61.3003,Hotel Durval
77,Castro,BR,72.63,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
82,Esmeraldas,BR,87.8,scattered clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
84,Hambantota,LK,78.17,overcast clouds,6.1241,81.1185,Bungalow 63
