City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Bredasdorp,-34.5322,20.0403,66.99,82,5,1.01,ZA,clear sky
1,Ribeira+Grande,38.5167,-28.7,64.4,88,40,16.11,PT,scattered clouds
2,Ushuaia,-54.8,-68.3,53.6,54,20,25.32,AR,few clouds
3,Falmouth,50.1544,-5.0711,45.0,93,90,24.16,GB,light rain
4,Atar,20.5169,-13.0499,72.59,18,7,9.6,MR,clear sky
5,Hermanus,-34.4187,19.2345,66.99,82,5,1.01,ZA,clear sky
6,Dikson,73.5069,80.5464,-36.04,82,0,9.01,RU,clear sky
7,Cape+Town,-33.9258,18.4232,72.0,68,0,6.91,ZA,clear sky
8,Nouadhibou,20.931,-17.0347,75.2,46,66,13.8,MR,broken clouds
9,Bandipur,27.9333,84.4167,38.05,76,0,2.33,NP,clear sky
10,Kanata,45.3159,-75.8985,15.01,59,76,6.71,CA,broken clouds
11,Rocha,-34.4833,-54.3333,75.47,70,100,17.6,UY,moderate rain
12,Saint-Philippe,-21.3585,55.7679,78.8,65,0,3.44,RE,clear sky
13,Ouricuri,-7.8825,-40.0817,78.62,68,100,4.83,BR,overcast clouds
14,Torbay,47.6666,-52.7314,30.0,86,90,10.36,CA,overcast clouds
15,Marrakesh,31.6315,-8.0083,60.8,67,0,9.22,MA,clear sky
16,Rognan,67.0953,15.3878,19.0,69,0,1.99,NO,clear sky
17,Asyut,27.181,31.1837,53.6,66,0,4.61,EG,clear sky
18,Mana,5.6592,-53.7767,78.8,88,99,11.56,GF,overcast clouds
19,Luba,3.4568,8.5547,80.6,89,20,6.91,GQ,few clouds
20,Beloha,-25.1667,45.05,77.32,77,4,4.5,MG,clear sky
21,Port+Elizabeth,-33.918,25.5701,64.4,88,40,5.75,ZA,scattered clouds
22,Zaporizhzhya,47.8167,35.1833,41.0,87,75,11.18,UA,broken clouds
23,Sao+Filipe,14.8961,-24.4956,75.79,58,95,9.08,CV,overcast clouds
24,Upernavik,72.7868,-56.1549,-9.98,85,0,7.61,GL,clear sky
25,Nanortalik,60.1432,-45.2371,32.61,88,100,10.25,GL,overcast clouds
26,Mopipi,-21.1833,24.8833,79.77,60,83,2.46,BW,broken clouds
27,Namibe,-15.1961,12.1522,73.72,78,64,9.69,AO,broken clouds
28,Dingle,10.9995,122.6711,71.47,90,100,9.89,PH,overcast clouds
29,Chuy,-33.6971,-53.4616,79.83,60,23,14.32,UY,moderate rain
30,Maragogi,-9.0122,-35.2225,80.22,74,96,8.99,BR,overcast clouds
31,Arraial+Do+Cabo,-22.9661,-42.0278,86.0,65,20,23.02,BR,few clouds
32,Taoudenni,22.6783,-3.9836,74.64,19,0,9.82,ML,clear sky
33,Mahebourg,-20.4081,57.7,78.8,89,75,8.05,MU,light rain
34,Aleksandrovka,46.8383,32.7612,42.8,93,75,11.18,UA,broken clouds
35,Aswan,24.0934,32.907,58.96,34,0,9.51,EG,clear sky
36,Niquero,20.0431,-77.5828,81.32,50,0,9.55,CU,clear sky
37,Port+Alfred,-33.5906,26.891,64.99,91,35,1.01,ZA,scattered clouds
38,Lebu,-37.6167,-73.65,62.24,70,4,11.41,CL,clear sky
39,Boa+Vista,2.8197,-60.6733,91.4,46,75,8.05,BR,broken clouds
40,Tucupita,9.0622,-62.051,79.21,88,44,5.66,VE,scattered clouds
41,Geraldton,-28.7667,114.6,84.2,24,0,18.41,AU,clear sky
42,Punta+Arenas,-53.15,-70.9167,59.0,47,0,31.07,CL,clear sky
43,Ocean+City,39.2776,-74.5746,35.6,27,1,13.8,US,clear sky
44,Mahajanga,-15.7167,46.3167,77.0,94,40,4.61,MG,moderate rain
45,Lasa,46.6166,10.7002,39.0,100,90,4.61,IT,light snow
46,East+London,-33.0153,27.9116,71.37,78,3,2.53,ZA,clear sky
47,Revadanda,18.5503,72.9278,73.4,56,1,4.68,IN,smoke
48,Busselton,-33.65,115.3333,63.0,76,0,4.0,AU,clear sky
49,Georgetown,5.4112,100.3354,80.01,78,20,3.44,MY,few clouds
50,Puerto+Carreno,6.189,-67.4859,94.46,37,28,12.75,CO,scattered clouds
51,Cruz+Das+Almas,-12.67,-39.1019,81.86,60,24,10.25,BR,light rain
52,Male,4.1748,73.5089,82.4,78,75,13.8,MV,broken clouds
53,Eskisehir,39.7767,30.5206,32.0,100,75,3.89,TR,mist
54,Naranjal,-2.6667,-79.6167,84.2,74,40,10.36,EC,light rain
55,Neuquen,-38.9516,-68.0591,71.6,49,75,3.44,AR,broken clouds
56,Klaksvik,62.2266,-6.589,33.8,86,75,18.41,FO,light intensity drizzle
57,Mitsamiouli,-11.3847,43.2844,82.38,76,100,9.13,KM,overcast clouds
58,Matara,5.9485,80.5353,76.46,87,99,3.91,LK,overcast clouds
59,Coquimbo,-29.9533,-71.3436,66.2,82,75,11.5,CL,broken clouds
60,Camapua,-19.5314,-54.0439,86.0,57,67,7.76,BR,light rain
61,Ventspils,57.3894,21.5606,32.0,74,75,13.8,LV,broken clouds
62,Dedougou,12.4667,-3.4667,80.04,15,0,6.24,BF,clear sky
63,Viedma,-40.8135,-62.9967,73.0,40,36,1.01,AR,scattered clouds
64,Kalmunai,7.4167,81.8167,76.84,85,92,6.42,LK,light rain
65,Chapais,49.7834,-74.8492,-0.4,65,90,8.05,CA,overcast clouds
66,Bilma,18.6853,12.9164,63.73,25,35,5.61,NE,scattered clouds
67,Codrington,-38.2667,141.9667,58.05,72,90,5.28,AU,overcast clouds
68,Igarka,67.4667,86.5833,-34.42,77,0,6.08,RU,clear sky
69,Cayenne,4.9333,-52.3333,80.6,94,75,10.36,GF,broken clouds
70,Novovyazniki,56.1975,42.1711,21.92,96,100,11.52,RU,overcast clouds
71,Krasnotorka,48.682,37.5327,40.12,75,100,16.4,UA,overcast clouds
72,Bandarbeyla,9.4942,50.8122,74.05,74,9,14.07,SO,clear sky
73,Vila+Franca+Do+Campo,37.7167,-25.4333,63.0,94,75,13.8,PT,broken clouds
74,Bathsheba,13.2167,-59.5167,82.4,65,20,17.27,BB,few clouds
75,Tasiilaq,65.6145,-37.6368,19.4,38,75,18.41,GL,broken clouds
76,Yar-Sale,66.8333,70.8333,-21.98,86,100,17.13,RU,overcast clouds
77,Sayyan,15.1718,44.3244,51.15,42,57,3.78,YE,broken clouds
78,Aquidauana,-20.4711,-55.7872,88.14,68,51,5.75,BR,broken clouds
79,Cap+Malheureux,-19.9842,57.6142,78.01,83,0,3.0,MU,light rain
80,Henties+Bay,-22.116,14.2845,66.99,85,3,3.0,NA,clear sky
81,Kerouane,9.2667,-9.0167,78.78,17,10,3.27,GN,clear sky
82,Urengoy,65.9667,78.3667,-27.2,82,100,11.7,RU,overcast clouds
83,Adrar,20.5022,-10.0711,71.74,20,17,8.86,MR,few clouds
84,Narsaq,60.9167,-46.05,39.2,35,75,35.68,GL,broken clouds
85,Abong+Mbang,3.9833,13.1833,74.3,56,100,3.33,CM,overcast clouds
86,Sohbatpur,28.5202,68.5434,57.2,31,0,3.96,PK,clear sky
87,Bolshevik,54.0065,27.5692,24.8,93,75,4.47,BY,light snow
88,Qaanaaq,77.484,-69.3632,-4.85,74,99,1.79,GL,overcast clouds
89,Szihalom,47.7667,20.4833,42.01,85,100,4.0,HU,overcast clouds
90,Xacmaz,41.4635,48.806,40.98,89,92,3.76,AZ,overcast clouds
91,Zaozerne,45.1582,33.2787,48.0,52,100,3.0,UA,overcast clouds
92,Krasnaya+Yaruga,50.8008,35.6583,33.8,100,90,8.95,RU,heavy intensity rain
93,Kayanga,-1.5303,31.1511,60.37,94,0,2.04,TZ,clear sky
94,Nioro,13.35,-15.75,84.61,12,0,6.69,GM,clear sky
95,Grindavik,63.8424,-22.4338,23.0,74,20,17.27,IS,few clouds
96,Mbanza-Ngungu,-5.25,14.8667,68.95,98,84,2.53,CD,broken clouds
97,Jumla,29.2747,82.1838,30.74,62,0,3.38,NP,clear sky
98,Lagoa,39.05,-27.9833,62.1,90,70,28.07,PT,broken clouds
99,Ancud,-41.8697,-73.8203,66.2,48,0,6.91,CL,clear sky
100,Sioux+Lookout,50.1001,-91.917,23.0,86,90,6.91,CA,light snow
101,Paamiut,61.994,-49.6678,28.4,88,99,14.76,GL,overcast clouds
102,Saldanha,-33.0117,17.9442,64.56,89,0,8.77,ZA,clear sky
103,Sao+Joao+Da+Barra,-21.6403,-41.0511,86.0,48,0,18.41,BR,clear sky
104,Awbari,26.5921,12.7805,56.95,37,0,4.18,LY,clear sky
105,East+Stroudsburg,40.9995,-75.1813,30.99,35,0,8.79,US,clear sky
106,Tamasane,-22.4184,27.4013,74.03,78,75,5.14,BW,moderate rain
107,Jamestown,42.097,-79.2353,26.01,74,90,3.04,US,overcast clouds
108,Santos+Dumont,-21.4567,-43.5525,82.4,39,20,9.22,BR,few clouds
109,Faya,18.3851,42.4509,57.2,71,0,5.03,SA,clear sky
110,Estelle,29.8458,-90.1067,70.0,82,75,13.8,US,broken clouds
111,Mar+Del+Plata,-38.0023,-57.5575,62.6,63,90,18.41,AR,overcast clouds
112,Aranda+De+Duero,41.6704,-3.6892,41.72,74,100,21.63,ES,overcast clouds
113,Shevchenkove,49.6959,37.1735,37.4,100,90,8.95,UA,moderate rain
114,Danielskuil,-28.1887,23.5395,73.2,29,0,4.12,ZA,clear sky
115,Batsfjord,70.6345,29.7185,23.16,95,100,20.09,NO,light snow
116,Olmos,-5.9847,-79.7453,87.58,43,81,9.46,PE,broken clouds
117,Mwinilunga,-11.7358,24.4293,65.57,91,100,0.49,ZM,overcast clouds
118,Barao+De+Melgaco,-16.1944,-55.9675,89.6,55,40,6.91,BR,scattered clouds
119,Conceicao+Do+Araguaia,-8.2578,-49.2647,81.84,80,100,5.12,BR,heavy intensity rain
120,Kaura+Namoda,12.5898,6.5779,73.83,18,0,8.97,NG,clear sky
121,Ponta+Delgada,37.7333,-25.6667,63.0,94,75,13.8,PT,broken clouds
122,Nador,35.174,-2.9287,60.8,88,20,17.27,MA,few clouds
123,Aras,42.5617,-2.356,46.0,91,96,11.12,ES,overcast clouds
124,Vestmannaeyjar,63.4427,-20.2734,32.0,74,75,12.66,IS,broken clouds
125,Yining,29.0361,114.5636,44.33,78,84,1.07,CN,broken clouds
126,Kathmandu,27.7167,85.3167,42.8,75,20,2.3,NP,few clouds
127,Sao+Jose+Da+Coroa+Grande,-8.8978,-35.1478,80.24,74,96,9.46,BR,overcast clouds
128,Mizdah,31.4451,12.9801,59.97,33,0,8.48,LY,clear sky
129,Saint+George,37.1041,-113.5841,48.0,75,1,0.31,US,clear sky
130,Tabas,33.5959,56.9244,56.16,40,97,4.59,IR,overcast clouds
131,Souillac,-20.5167,57.5167,78.8,89,75,8.05,MU,broken clouds
132,Muravlenko,63.7898,74.523,-19.57,86,100,17.34,RU,overcast clouds
133,Victoria,22.2855,114.1577,62.01,74,0,14.03,HK,clear sky
134,Sibiti,-3.6819,13.3499,68.05,99,100,2.04,CG,overcast clouds
135,Coro,11.4045,-69.6734,82.38,62,9,19.46,VE,clear sky
136,Biaora,23.8667,76.9167,53.65,38,0,4.45,IN,clear sky
137,Qeshm,26.9581,56.2719,66.2,72,20,4.61,IR,few clouds
138,Lindi,-10.0,39.7167,76.19,92,81,3.94,TZ,broken clouds
139,Palamos,41.8484,3.1291,51.01,24,100,2.64,ES,overcast clouds
140,Rio+Gallegos,-51.6226,-69.2181,66.2,32,20,19.57,AR,few clouds
141,Selma,36.5708,-119.6121,57.2,54,1,4.61,US,clear sky
142,Kabalo,-6.05,26.9167,73.27,89,100,0.69,CD,overcast clouds
143,Tarboro,35.8968,-77.5358,39.2,38,1,2.53,US,clear sky
144,Belyy+Yar,53.6039,91.3903,-18.4,69,0,6.71,RU,clear sky
145,Mandal,25.45,74.5667,53.67,36,0,0.96,IN,clear sky
146,Pangnirtung,66.1451,-65.7125,-9.4,77,20,2.59,CA,few clouds
147,Turukhansk,65.8167,87.9833,-32.55,76,0,4.56,RU,clear sky
148,Mongu,-15.2484,23.1274,72.19,77,89,4.54,ZM,light rain
149,Sovetskiy,61.3614,63.5842,-3.84,92,100,4.32,RU,light snow
150,Maniitsoq,65.4167,-52.9,13.55,81,0,12.73,GL,clear sky
151,Rawson,-43.3002,-65.1023,65.53,40,0,18.79,AR,clear sky
152,Candolim,15.5181,73.7626,75.2,83,0,4.61,IN,haze
153,Tsiroanomandidy,-18.7667,46.0333,68.32,88,100,6.62,MG,light rain
154,Bara,10.3744,10.7288,77.32,18,0,8.37,NG,clear sky
155,Yalova,40.655,29.2769,44.6,93,75,6.91,TR,light rain
156,Hamilton,39.1834,-84.5333,37.0,56,100,9.78,US,overcast clouds
157,Manono,-7.3,27.4167,72.25,90,99,2.1,CD,light rain
158,Siderno,38.2779,16.302,57.99,53,100,3.0,IT,overcast clouds
159,Bull+Savanna,17.8868,-77.5902,79.48,66,57,9.55,JM,broken clouds
160,Totness,5.8833,-56.3167,78.57,88,99,11.88,SR,overcast clouds
161,Oranjemund,-28.55,16.4333,63.23,85,0,13.85,NA,clear sky
162,Demir+Hisar,41.2217,21.2031,41.0,75,20,2.3,MK,few clouds
163,Saint-Augustin,51.226,-58.6502,30.52,94,87,11.36,CA,overcast clouds
164,Luderitz,-26.6481,15.1594,69.37,58,9,26.73,NA,clear sky
165,Lokosovo,61.1333,74.8167,-17.12,86,100,14.27,RU,overcast clouds
166,Lukaya,-0.1489,31.8748,69.8,88,0,4.36,UG,clear sky
167,Avigliano,40.7329,15.72,46.99,62,82,5.99,IT,broken clouds
168,Crixas,-14.5489,-49.9692,86.38,60,10,4.56,BR,clear sky
169,Caravelas,-17.7125,-39.2481,81.21,68,8,8.52,BR,clear sky
170,Nantucket,41.2835,-70.0995,21.2,53,1,13.8,US,clear sky
171,Isla+Mujeres,21.2311,-86.731,78.8,61,75,18.41,MX,broken clouds
