City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Port+Blair,11.6667,92.75,79.68,80,1,8.14,IN,clear sky
1,Grand+Gaube,-20.0064,57.6608,79.0,80,0,3.0,MU,clear sky
2,Chulym,55.0997,80.9572,-17.61,85,5,8.9,RU,clear sky
3,Taltal,-25.4,-70.4833,71.69,55,9,4.92,CL,clear sky
4,Ushuaia,-54.8,-68.3,51.8,62,20,26.46,AR,few clouds
5,Cape+Town,-33.9258,18.4232,77.0,60,20,12.66,ZA,few clouds
6,Margate,51.3813,1.3862,39.99,90,100,4.0,GB,overcast clouds
7,Georgetown,5.4112,100.3354,80.6,83,20,3.44,MY,few clouds
8,Busselton,-33.65,115.3333,68.0,64,0,1.99,AU,clear sky
9,Karasuk,53.7377,78.0403,7.74,96,81,8.39,RU,broken clouds
10,Dusetos,55.75,25.85,25.21,96,99,10.31,LT,overcast clouds
11,Bredasdorp,-34.5322,20.0403,71.01,77,0,5.01,ZA,clear sky
12,Dubti,11.7361,41.0853,77.27,20,0,3.51,ET,clear sky
13,Cabedelo,-6.9811,-34.8339,87.8,58,40,14.97,BR,scattered clouds
14,Mahibadhoo,3.7833,72.9667,81.25,74,0,11.68,MV,clear sky
15,Tasiilaq,65.6145,-37.6368,15.8,41,75,17.27,GL,broken clouds
16,Longyearbyen,78.2186,15.6401,-2.2,50,20,21.85,SJ,few clouds
17,Porto+Novo,6.4965,2.6036,86.0,79,40,11.5,BJ,scattered clouds
18,Elliot+Lake,46.3834,-82.6331,17.6,62,1,5.75,CA,clear sky
19,Santa+Maria,-29.6842,-53.8069,86.0,66,75,5.75,BR,broken clouds
20,Port+Alfred,-33.5906,26.891,70.0,86,0,1.01,ZA,clear sky
21,Calvinia,-31.4707,19.776,73.31,37,0,10.65,ZA,clear sky
22,Mar+Del+Plata,-38.0023,-57.5575,64.4,55,90,23.02,AR,overcast clouds
23,Iracoubo,5.4802,-53.2011,79.47,87,85,14.5,GF,light rain
24,Mahebourg,-20.4081,57.7,78.8,89,75,5.75,MU,broken clouds
25,Ushtobe,45.2514,77.9838,16.83,86,26,4.65,KZ,scattered clouds
26,Saint-Philippe,-21.3585,55.7679,80.6,65,0,9.22,RE,light rain
27,Hithadhoo,-0.6,73.0833,82.89,75,78,13.2,MV,broken clouds
28,Leninsk,48.7119,45.1994,33.8,93,20,11.18,RU,few clouds
29,Moose+Factory,51.2585,-80.6094,-0.4,78,90,4.61,CA,light snow
30,Krishnagiri,12.5333,78.2333,69.39,67,0,3.74,IN,clear sky
31,Jamestown,42.097,-79.2353,26.01,79,90,4.9,US,light snow
32,Narsaq,60.9167,-46.05,41.0,30,75,35.68,GL,broken clouds
33,Ribeira+Grande,38.5167,-28.7,64.4,88,75,17.27,PT,broken clouds
34,Bissendorf,52.2333,8.1667,32.0,80,20,8.05,DE,few clouds
35,Berlevag,70.8578,29.0864,25.77,96,100,23.53,NO,light snow
36,Victoria,22.2855,114.1577,62.01,78,1,16.87,HK,clear sky
37,Cidreira,-30.1811,-50.2056,85.26,67,35,8.57,BR,scattered clouds
38,Puerto+Del+Rosario,28.5004,-13.8627,68.0,73,0,19.57,ES,clear sky
39,East+London,-33.0153,27.9116,73.4,78,40,8.05,ZA,scattered clouds
40,Iquique,-20.2208,-70.1431,73.4,56,0,16.11,CL,clear sky
41,La+Rosa,15.35,-87.0667,75.2,78,40,2.3,HN,scattered clouds
42,Hermanus,-34.4187,19.2345,71.01,77,0,5.01,ZA,clear sky
43,Plettenberg+Bay,-34.0527,23.3716,70.05,68,3,4.41,ZA,clear sky
44,Halifax,44.6453,-63.5724,24.01,68,100,11.5,CA,overcast clouds
45,Bilma,18.6853,12.9164,68.74,20,49,6.29,NE,scattered clouds
46,Bubaque,11.2833,-15.8333,80.73,56,0,12.53,GW,clear sky
47,Carutapera,-1.195,-46.02,82.22,80,87,10.42,BR,overcast clouds
48,Hobyo,5.3505,48.5268,76.71,74,7,15.59,SO,clear sky
49,La+Ciotat,43.1748,5.6045,48.99,89,100,5.99,FR,light rain
50,Torbay,47.6666,-52.7314,30.99,86,90,18.41,CA,overcast clouds
51,Bandarbeyla,9.4942,50.8122,75.02,71,0,14.38,SO,clear sky
52,Ponta+Do+Sol,32.6667,-17.1,64.0,73,39,5.01,PT,scattered clouds
53,Nosy+Varika,-20.5833,48.5333,80.17,80,5,8.37,MG,clear sky
54,Korla,41.7597,86.1469,25.0,79,0,5.93,CN,clear sky
55,Sainte-Suzanne,-20.9061,55.6089,80.6,69,28,12.66,RE,light rain
56,Pisco,-13.7,-76.2167,77.0,78,0,11.5,PE,clear sky
57,Bosilegrad,42.5011,22.4724,32.47,94,44,3.44,RS,scattered clouds
58,Port+Hawkesbury,45.6169,-61.3485,30.0,68,90,9.22,CA,overcast clouds
59,Iqaluit,63.7506,-68.5145,-9.0,70,20,16.11,CA,snow
