City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,2021-01-30 03:32:57,-34.4187,19.2345,62.01,90,63,1.01
1,Bredasdorp,ZA,2021-01-30 03:32:58,-34.5322,20.0403,62.01,90,93,1.01
2,Hualmay,PE,2021-01-30 03:32:58,-11.0964,-77.6139,70.59,79,85,5.86
3,Codrington,AU,2021-01-30 03:32:58,-38.2667,141.9667,62.94,71,100,11.74
4,Santa Luzia,BR,2021-01-30 03:32:58,-19.7697,-43.8514,73.4,64,0,4.61
5,Nouakchott,MR,2021-01-30 03:32:58,18.0858,-15.9785,64.4,22,100,9.22
6,Qaanaaq,GL,2021-01-30 03:32:58,77.484,-69.3632,-13.32,63,0,5.21
7,Bonavista,CA,2021-01-30 03:32:58,48.6499,-53.1147,27.0,93,100,6.91
8,Port Alfred,ZA,2021-01-30 03:32:58,-33.5906,26.891,66.0,81,15,6.71
9,East London,ZA,2021-01-30 03:32:58,-33.0153,27.9116,69.75,72,38,3.42
10,Ushuaia,AR,2021-01-30 03:31:24,-54.8,-68.3,42.8,75,40,17.27
11,Cape Town,ZA,2021-01-30 03:30:08,-33.9258,18.4232,70.0,94,75,3.44
12,Camacha,PT,2021-01-30 03:32:59,33.0833,-16.3333,60.8,88,75,9.22
13,Praia Da Vitoria,PT,2021-01-30 03:32:59,38.7333,-27.0667,59.0,82,20,18.12
14,Tasiilaq,GL,2021-01-30 03:32:59,65.6145,-37.6368,15.8,53,90,21.85
15,Touros,BR,2021-01-30 03:32:59,-5.1989,-35.4608,77.0,88,40,4.61
16,Mar Del Plata,AR,2021-01-30 03:32:05,-38.0023,-57.5575,70.0,94,75,4.61
17,Hithadhoo,MV,2021-01-30 03:32:59,-0.6,73.0833,81.99,76,35,12.93
18,Punta Arenas,CL,2021-01-30 03:33:00,-53.15,-70.9167,46.4,81,40,20.71
19,Vargem Grande,BR,2021-01-30 03:33:00,-3.5431,-43.9158,73.42,97,99,2.3
20,Matara,LK,2021-01-30 03:33:00,5.9485,80.5353,82.76,70,3,1.66
21,Camabatela,AO,2021-01-30 03:33:00,-8.1881,15.375,62.19,100,100,1.92
22,Port Elizabeth,ZA,2021-01-30 03:33:00,-33.918,25.5701,57.2,88,0,4.61
23,Ampanihy,MG,2021-01-30 03:33:00,-24.7,44.75,82.15,60,7,10.89
24,Longyearbyen,SJ,2021-01-30 03:33:00,78.2186,15.6401,-0.4,50,20,24.16
25,Khromtau,KZ,2021-01-30 03:29:05,50.2503,58.4347,16.45,98,100,9.33
26,Lagoa,PT,2021-01-30 03:33:01,39.05,-27.9833,60.13,83,100,20.0
27,Baracoa,CU,2021-01-30 03:33:01,20.3467,-74.4958,70.47,78,93,13.18
28,Waddan,LY,2021-01-30 03:33:01,29.1614,16.139,53.33,51,0,5.01
29,Pesaro,IT,2021-01-30 03:33:01,43.9036,12.8903,32.0,93,6,5.75
30,Westport,US,2021-01-30 03:31:10,41.1415,-73.3579,17.6,45,1,12.66
31,Micheweni,TZ,2021-01-30 03:33:01,-4.9667,39.8333,80.51,80,54,10.49
32,Isla Mujeres,MX,2021-01-30 03:33:02,21.2311,-86.731,73.99,64,75,5.75
33,Sao Joao Da Barra,BR,2021-01-30 03:33:02,-21.6403,-41.0511,77.29,81,22,20.74
34,Saint-Augustin,CA,2021-01-30 03:33:02,51.226,-58.6502,13.12,92,62,10.18
35,Dikson,RU,2021-01-30 03:33:02,73.5069,80.5464,-33.92,84,96,7.52
